text,target
"['телега', 'удивительный', 'рядом', 'httpstmemyfavoritejumoreski', 'httpstmemyfavoritejumoreski', 'httpstmemyfavoritejumoreski']",jumoreski
"['у', 'она', 'представление', 'о', 'тот', 'как', 'выглядеть']",jumoreski
"['мочь', 'ли', 'пока', 'неизвестно', 'но', 'всё', 'сообщество', 'любитель', 'японский', 'анимация', 'и', 'не', 'рука', 'до', 'сей', 'пора', 'проводить', 'опыт']",jumoreski
"['прийти', 'повестка', 'армия', 'не', 'входить', 'в', 'план', '18', 'апрель', 'в', 'прямой', 'эфир', 'разыграть', '5', 'договор', 'на', 'услуга', 'компания', 'победитель', 'получить', 'законный', 'помощь', 'в', 'получение', 'военный', 'билет', 'абсолютно', 'бесплатно', 'у', 'ты', 'быть', 'личный', 'врач', 'знающий', 'как', 'правильно', 'заболевание', 'личный', 'юрист', 'знающий', 'всё', 'тонкость', 'работа', 'с', 'военкомат', 'личный', 'менеджер', 'с', 'который', 'ты', 'быть', 'следовать', 'план', 'по', 'освобождение', 'от', 'служба', 'три', 'специалист', 'буквально', 'за', 'рука', 'провести', 'ты', 'по', 'весь', 'путь', 'от', 'получение', 'повестка', 'до', 'освобождение', 'от', 'призыв', 'и', 'получение', 'военный', 'билет', 'чтобы', 'участвовать', 'в', 'конкурс', 'нужно', 'заполнить', 'форма', 'быть', 'старший', '18', 'год', 'и', 'обязательно', 'приходить', 'на', 'стрим', '18', 'апрель']",jumoreski
"['два', 'встречаться', 'в', 'середина', 'индийский', 'океан', 'один', '1', 'в', 'другой', '2', 'в', '1', 'мистер', 'какой', 'встреча', 'сколько', 'год', 'мы', 'не', '2', 'да', 'год', '16', 'быть', 'как', 'изволить', 'ваш', 'супруг', '1', 'о', 'с', 'мери', 'всё', 'хорошо', 'а', 'как', 'ваш', '2', 'спасибо', 'в', 'последний', 'время', 'чтоть', 'а', 'как', 'ваш', 'ребёнок', '1', 'джон', 'кончить', 'университет', 'работать', 'инженер', 'скоро', 'выходить', 'замуж', 'а', 'как', 'ваш', '2', 'спасибо', 'прекрасно', 'вот', 'не', 'ожидать', 'встретить', 'вы', 'в', 'индийский', 'океан', '1', 'а', 'я', 'купить', 'яхта', 'заниматься', 'рыбный', 'с', 'а', 'вы', 'как', 'тут', 'оказаться', '2', 'я', 'купить', 'билет', 'на', 'у', 'я', 'тётка', 'в', 'совсем', 'уже', 'старый', 'надо', 'она', 'пятнадцать', 'минута', 'назад', 'я', 'упасть', 'за', 'борт', 'теперь', 'тон']",jumoreski
"['сидеть', 'рыбак', 'на', 'берег', 'река', 'рыба', 'ловить', 'и', 'слышать', 'что', 'вверх', 'по', 'течение', 'кто', 'то', 'крикнуть', 'пойти', 'нахуй', 'через', 'какоеть', 'время', 'опять', 'слышать', 'пойти', 'нахуй', 'но', 'уже', 'более', 'близко', 'сидеть', 'смотреть', 'мимо', 'он', 'плыть', 'лодка', 'а', 'в', 'она', 'мужик', 'ложка', 'грести', 'тут', 'он', 'рыбак', 'говорить', 'мужик', 'ты', 'че', 'ты', 'бы', 'ещё', 'вилка', 'грести', 'а', 'тот', 'он', 'ёлкипалка', 'точно', 'спасибо', 'за', 'совет']",jumoreski
"['встречаться', 'с', 'молодой', 'человек', 'для', 'встреча', 'использовать', 'квартира', 'он', 'брат', 'она', 'обычно', 'после', 'долгожданный', 'встреча', 'звонить', 'я', 'любимый', 'там', 'это', 'брат', 'звонить', 'к', 'он', 'сосед', 'приходить', 'с', 'прошлый', 'ночью', '5', 'квартира', 'не', 'спасть', 'крик', 'и', 'слушать', 'ребёнок', 'плакать', 'бояться', 'думать', 'что', 'коготь', 'убивать', 'просить', 'вести', 'себя', 'тихий', 'и', 'что', 'он', 'мы', 'большой', 'к', 'себя', 'не', 'пустить', 'да', 'пустить', 'конечно', 'сосед', 'ж', 'на', 'он', 'всё', 'подумать', 'теперь', 'тётка', 'на', 'он', 'смотреть', 'с', 'а', 'мужик', 'с', 'уважение', 'но', 'собака', 'по', 'старый', 'память', 'всё', 'равно', 'прятать']",jumoreski
"['приходить', 'раввин', 'к', 'священник', 'и', 'говорить', '–', 'вот', 'тип', 'такой', 'дело', '–', 'у', 'я', 'велосипед', 'спереть', 'причём', 'сделать', 'это', 'ктоть', 'из', 'мой', 'община', 'вот', 'ты', 'тип', 'тоже', 'направлять', 'свой', 'прихожанин', 'на', 'путь', 'истинный', 'вот', 'дать', 'совет', '–', 'как', 'найти', 'вор', 'среди', 'свой', '–', 'это', 'просто', '–', 'отвечать', 'священник', '–', 'надо', 'весь', 'собрать', 'и', 'зачесть', 'перед', 'они', '10', 'заповедь', 'вот', 'когда', 'дойти', 'до', 'не', 'украсть', 'внимательно', 'смотреть', 'человек', 'в', 'глаз', 'и', 'кто', 'глаз', 'потупить', 'тот', 'и', 'вор', 'через', 'день', 'приходить', 'снова', 'раввин', 'к', 'он', 'с', 'букет', 'цвет', '–', 'ну', 'что', 'мой', 'совет', 'помочь', '–', 'интересоваться', 'священник', '–', 'ну', 'не', 'совсем', 'в', 'общий', 'но', 'идея', 'сработать', '–', 'не', 'ну', 'так', 'как', 'всё', 'получиться', '–', 'да', 'не', 'неважно', '–', 'ну', 'всетаки', '–', 'настаивать', 'священник', '–', 'ну', 'понимать', 'как', 'вот', 'созвать', 'община', 'начать', 'зачитывать', 'заповедь', 'а', 'когда', 'дойти', 'до', 'не', 'прелюбодействовать', 'то', 'вспомнить', 'где', 'забыть', 'велосипед']",jumoreski
"['врач', 'так', 'неприятно', 'я', 'да', 'врач', 'а', 'так', 'я', 'очень', 'неприятно', 'врач', 'а', 'вот', 'так', 'я', 'бля', 'хороший', 'свой', 'манга', 'показывать']",jumoreski
"['папа', 'а', 'почему', 'вы', 'назвать', 'мой', 'сестра', 'маргарита', 'потому', 'что', 'твой', 'мама', 'очень', 'любить', 'пицца', 'маргарита', 'спасибо', 'папа', 'нет', 'проблема', 'two', 'number', 'nine', 'number', 'nine', 'large', 'number', 'with', 'two', 'number', 'with', 'and', 'a', 'large']",jumoreski
