date,text
2023-04-10,"12-летие ИТИС!🎉 
Наша самая приятная традиция связана с празднованием Дня Рождения ИТИС! 31 марта наш институт отпраздновал свои 12 лет со дня основания. Праздник прошел в кругу партнеров, коллег, преподавателей, студентов и выпускников. 
Наши активисты совместно с музыкальным коллективом ""ITIS music"" подготовили замечательную концертную программу с разнообразными номерами и сюрпризами. Также в течение вечера были награждены лучшие активисты института, а среди преподавателей и сотрудников награждены победители в конкурсе ""Оскар ИТИС"". 
По окончании выступления традиционно был праздничный торт!🎂 
А уже в конце был проведён квиз от наших активистов СНО, где участники отвечали на вопросы связанные с IT-сферой и историей института. 
Большое спасибо всем, кто принял участие в празднике! 
С Днём Рождения, ИТИС! 
#ИТИС #КФУ #Люди_ИТИС"
2023-04-05,"Мы приготовили для вас МЕГА-новости 😎 
 
Слышали про Яндекс, но не знали, как туда устроиться на работу? 
 
У нас есть предложение для вас - приходите на Яндекс День! 
 
Уже 6 апреля с 12.00 до 16.00 в Мраморном зале (ул. Кремлевская, 35) представители Яндекс встретятся со студентами и постараются найти ответ на все ваши вопросы по трудоустройству. 
 
В программе: 
📢 разговоры с HRами 
🤩 розыгрыш мерча 
👨‍💻 интересные тестовые задания 
🗣 лекция от старшего разработчика Яндекс.Облака ""Современный Node.js в корпоративных приложениях"" 
👤лекция от бэкенд разработчика Алисы ""Голосовые сценарии Алисы""
🗣 лекция от нашей выпускницы Екатерины Свинтенок
 
Приходите! Будет интересно, полезно и весело!👾"
2023-03-25,Live: ИТИС КФУ
2023-03-25,Live: ИТИС КФУ
2023-03-15,Студенты ИТИС стали стипендиатами Правительства России по приоритетным направлениям модернизации и технологического развития российской экономики! Поздравляем!👏
2023-03-15,"🔝Стартуют новые курсы для школьников 
 
🛎21 марта стартует «Гейм-дизайн» 
Стоимость обучения 11 000 рублей. 
Продолжительность программы 48 часов 
Регистрация на курс (https://itiskfu.timepad.ru/event/2321954/) 
🛎22 марта «Программирование на языке Python» 
Стоимость обучения 15 000 рублей. 
Продолжительность программы 72 часа 
Регистрация на курс (https://itiskfu.timepad.ru/event/2291734/)
 
Программы курсов - https://kpfu.ru/itis/korporativnoe-sotrudnichestvo 
 
Формат обучения гибридный. Очные занятия/онлайн трансляция будут проходить 2 раза в неделю по расписанию. 
 
Очные практические занятия будут проходить по адресу: г. Казань, Кремлевская, д. 35 (ИТИС). 
Для тех кто не сможет посещать очно, будет организована онлайн трансляция очных занятий, видеозапись занятий будет сохранена. 
 
Приглашайте своих знакомых 
#ИТИС #КФУ##курсыдополнительногообразования"
2023-03-10,Директор ИТИС Михаил Абрамский выступит на очередной серии научно-популярного проекта PROНаука в КФУ 24 марта!💥
2023-03-08,"С праздником, прекрасные леди🌿
Желаем вам замечательных весенних дней с лучистым солнцем и пением птиц🕊
#ИТИС #КФУ #8марта"
2023-03-04,"Как вам образ студента ИТИС от нейросети? Как думаете, совпадает с реальностью?"
2023-02-27,Live: ИТИС КФУ
2023-02-11,Live: ИТИС КФУ
